Date,Global_UID,Indicator,Value,Error,Unit,Note
2018-02-01,G1-U01,BOD,1.1,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U01,COD,8.0,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U01,NH3-N,1.81,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U01,TN,5.06,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U01,TP,0.11,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U02,BOD,1.4,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U02,COD,9.0,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U02,NH3-N,0.199,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U02,TN,4.64,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U02,TP,0.13,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U03,BOD,1.6,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U03,COD,10.0,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U03,NH3-N,0.088,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U03,TN,5.06,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U03,TP,0.15,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U04,BOD,1.5,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U04,COD,7.0,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U04,NH3-N,0.228,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U04,TN,4.6,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U04,TP,0.06,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U05,BOD,0.8,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U05,COD,7.0,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U05,NH3-N,0.037,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U05,TN,4.19,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U05,TP,0.05,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U06,BOD,0.9,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U06,COD,8.0,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U06,NH3-N,0.164,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U06,TN,4.5,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U06,TP,0.09,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U07,BOD,0.5,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U07,COD,6.0,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U07,NH3-N,0.035,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U07,TN,4.56,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U07,TP,0.05,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U08,BOD,1.2,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U08,COD,9.0,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U08,NH3-N,0.043,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U08,TN,1.87,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U08,TP,0.02,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U09,BOD,1.1,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U09,COD,8.0,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U09,NH3-N,0.059,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U09,TN,4.1,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U09,TP,0.03,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U01,BOD,1.9,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U01,COD,10.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U01,NH3-N,2.66,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U01,TN,6.67,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U01,TP,0.2,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,BOD,3.2,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,BOD,1.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,COD,16.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,COD,12.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,NH3-N,2.87,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,NH3-N,2.45,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,TN,8.59,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,TN,6.84,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,TP,0.17,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,TP,0.13,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U03,BOD,3.2,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U03,BOD,2.4,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U03,COD,9.0,,mg/L,常贺星硕士论文数据
